day,month,RH,Ws,Rain,FFMC,DMC,FWI,Classes,Temperature
1.0,6.0,57.0,18.0,0.0,65.7,3.4,0.5,1,29.0
2.0,6.0,61.0,13.0,1.3,64.4,4.1,0.4,1,29.0
3.0,6.0,82.0,22.0,13.1,47.1,2.5,0.1,1,26.0
4.0,6.0,89.0,13.0,2.5,28.6,1.3,0.0,1,25.0
5.0,6.0,77.0,16.0,0.0,64.8,3.0,0.5,1,27.0
6.0,6.0,67.0,14.0,0.0,82.6,5.8,2.5,0,31.0
7.0,6.0,54.0,13.0,0.0,88.2,9.9,7.2,0,33.0
8.0,6.0,73.0,15.0,0.0,86.6,12.1,7.1,0,30.0
9.0,6.0,88.0,13.0,0.2,52.9,7.9,0.3,1,25.0
10.0,6.0,79.0,12.0,0.0,73.2,9.5,0.9,1,28.0
11.0,6.0,65.0,14.0,0.0,84.5,12.5,5.6,0,31.0
12.0,6.0,81.0,19.0,0.0,84.0,13.8,7.1,0,26.0
13.0,6.0,84.0,21.0,1.2,50.0,6.7,0.2,1,27.0
14.0,6.0,78.0,20.0,0.5,59.0,4.6,0.4,1,30.0
15.0,6.0,80.0,17.0,3.1,49.4,3.0,0.1,1,28.0
16.0,6.0,89.0,13.0,0.7,36.1,1.7,0.0,1,29.0
17.0,6.0,89.0,16.0,0.6,37.3,1.1,0.0,1,30.0
18.0,6.0,78.0,14.0,0.3,56.9,1.9,0.2,1,31.0
19.0,6.0,55.0,16.0,0.1,79.9,4.5,1.4,1,31.0
20.0,6.0,80.0,16.0,0.4,59.8,3.4,0.4,1,30.0
21.0,6.0,78.0,14.0,0.0,81.0,6.3,2.2,0,30.0
22.0,6.0,67.0,17.0,0.1,79.1,7.0,2.3,1,31.0
23.0,6.0,62.0,18.0,0.1,81.4,8.2,3.8,0,32.0
24.0,6.0,66.0,17.0,0.0,85.9,11.2,7.5,0,32.0
25.0,6.0,64.0,15.0,0.0,86.7,14.2,8.4,0,31.0
26.0,6.0,64.0,18.0,0.0,86.8,17.8,10.6,0,31.0
27.0,6.0,53.0,18.0,0.0,89.0,21.6,15.0,0,34.0
28.0,6.0,55.0,14.0,0.0,89.1,25.5,13.9,0,32.0
29.0,6.0,47.0,13.0,0.3,79.9,18.4,3.9,1,32.0
30.0,6.0,50.0,14.0,0.0,88.7,22.9,12.9,0,33.0
1.0,7.0,68.0,19.0,1.0,59.9,2.5,0.4,1,29.0
2.0,7.0,75.0,19.0,1.2,55.7,2.4,0.3,1,27.0
3.0,7.0,76.0,20.0,0.7,63.1,2.6,0.5,1,32.0
4.0,7.0,78.0,17.0,0.0,80.1,4.6,1.7,1,33.0
5.0,7.0,66.0,14.0,0.0,85.9,7.6,4.9,0,33.0
6.0,7.0,63.0,14.0,0.0,87.0,10.9,6.8,0,32.0
7.0,7.0,64.0,18.0,0.2,80.0,9.7,3.2,1,35.0
8.0,7.0,68.0,19.0,0.0,85.6,12.5,8.0,0,33.0
9.0,7.0,68.0,14.0,1.4,66.6,7.7,0.6,1,32.0
10.0,7.0,69.0,13.0,0.7,66.6,6.0,0.5,1,33.0
11.0,7.0,76.0,14.0,0.0,81.1,8.1,2.2,1,33.0
12.0,7.0,75.0,13.0,0.1,75.1,7.9,0.9,1,31.0
13.0,7.0,81.0,15.0,0.0,81.8,9.7,3.4,1,34.0
14.0,7.0,61.0,13.0,0.6,73.9,7.8,0.8,1,34.0
15.0,7.0,80.0,19.0,0.4,60.7,5.2,0.5,1,30.0
16.0,7.0,76.0,21.0,0.0,72.6,7.0,0.4,1,28.0
17.0,7.0,70.0,14.0,0.0,82.8,9.4,3.6,0,29.0
18.0,7.0,68.0,14.0,0.0,85.4,12.1,6.0,0,31.0
19.0,7.0,59.0,17.0,0.0,88.1,12.0,10.9,0,35.0
20.0,7.0,65.0,15.0,0.1,81.4,12.3,4.0,0,33.0
21.0,7.0,70.0,17.0,0.0,85.4,18.5,8.8,0,33.0
22.0,7.0,79.0,18.0,0.1,73.4,16.4,2.8,1,28.0
23.0,7.0,66.0,22.0,0.4,68.2,10.5,2.1,1,27.0
24.0,7.0,78.0,16.0,0.1,70.0,9.6,1.3,1,28.0
25.0,7.0,65.0,18.0,0.0,84.3,12.5,7.3,0,31.0
26.0,7.0,53.0,19.0,0.0,89.2,17.1,15.3,0,36.0
27.0,7.0,48.0,13.0,0.0,90.3,22.2,15.3,0,36.0
28.0,7.0,76.0,15.0,0.0,86.5,24.4,11.3,0,33.0
29.0,7.0,73.0,15.0,0.0,86.6,26.7,11.9,0,32.0
30.0,7.0,79.0,15.0,0.0,85.4,28.5,10.7,0,31.0
31.0,7.0,64.0,17.0,0.0,87.2,31.9,15.7,0,35.0
1.0,8.0,45.0,14.0,0.0,78.8,4.8,0.9,1,36.0
2.0,8.0,55.0,12.0,0.4,78.0,5.8,0.8,1,35.0
3.0,8.0,63.0,14.0,0.3,76.6,5.7,0.8,1,35.0
4.0,8.0,69.0,13.0,0.0,85.0,8.2,3.9,0,34.0
5.0,8.0,65.0,13.0,0.0,86.8,11.1,6.1,0,34.0
6.0,8.0,75.0,14.0,0.0,86.4,13.0,6.8,0,32.0
7.0,8.0,69.0,16.0,0.0,86.5,15.5,8.0,0,32.0
8.0,8.0,60.0,18.0,0.3,77.1,11.3,2.6,1,32.0
9.0,8.0,59.0,17.0,0.0,87.4,14.8,9.9,0,35.0
10.0,8.0,55.0,14.0,0.0,88.9,18.6,11.6,0,35.0
11.0,8.0,63.0,13.0,0.0,88.9,21.7,12.1,0,35.0
12.0,8.0,51.0,13.0,0.3,81.3,15.6,4.2,1,35.0
13.0,8.0,63.0,15.0,0.0,87.0,19.0,10.2,0,35.0
14.0,8.0,66.0,14.0,0.0,87.0,21.7,10.6,0,33.0
15.0,8.0,55.0,13.0,0.3,82.4,15.6,6.3,0,36.0
16.0,8.0,61.0,18.0,0.3,80.2,11.7,4.2,0,36.0
17.0,8.0,52.0,18.0,0.0,89.3,16.0,14.6,0,37.0
18.0,8.0,54.0,18.0,0.0,89.4,20.0,16.1,0,36.0
19.0,8.0,62.0,19.0,0.0,89.4,23.2,17.2,0,35.0
20.0,8.0,68.0,19.0,0.0,88.3,25.9,16.8,0,35.0
21.0,8.0,58.0,19.0,0.0,88.6,29.6,18.4,0,36.0
22.0,8.0,55.0,18.0,0.0,89.1,33.5,20.4,0,36.0
23.0,8.0,53.0,16.0,0.0,89.5,37.6,22.3,0,36.0
24.0,8.0,64.0,14.0,0.0,88.9,40.5,20.9,0,34.0
25.0,8.0,60.0,15.0,0.0,88.9,43.9,20.3,0,35.0
26.0,8.0,78.0,18.0,0.0,85.8,45.6,13.7,0,31.0
27.0,8.0,82.0,21.0,0.0,84.9,47.0,13.2,0,33.0
28.0,8.0,64.0,16.0,0.0,89.4,50.2,19.9,0,34.0
29.0,8.0,48.0,18.0,0.0,90.1,54.2,30.2,0,35.0
30.0,8.0,70.0,17.0,0.8,72.7,25.2,4.2,1,35.0
31.0,8.0,80.0,21.0,16.8,52.5,8.7,0.3,1,28.0
1.0,9.0,76.0,17.0,7.2,46.0,1.3,0.1,1,25.0
2.0,9.0,86.0,15.0,10.1,30.5,0.7,0.0,1,22.0
3.0,9.0,78.0,15.0,3.8,42.6,1.2,0.0,1,25.0
4.0,9.0,73.0,17.0,0.1,68.4,1.9,0.5,1,29.0
5.0,9.0,75.0,16.0,0.0,80.8,3.4,1.7,0,29.0
6.0,9.0,74.0,19.0,0.1,75.8,3.6,0.9,1,29.0
7.0,9.0,71.0,17.0,0.3,69.6,3.2,0.6,1,31.0
8.0,9.0,73.0,17.0,0.9,62.0,2.6,0.4,1,30.0
9.0,9.0,77.0,15.0,1.0,56.1,2.1,0.2,1,30.0
10.0,9.0,73.0,12.0,1.8,59.9,2.2,0.3,1,33.0
11.0,9.0,77.0,21.0,1.8,58.5,1.9,0.3,1,30.0
12.0,9.0,88.0,13.0,0.0,71.0,2.6,0.5,1,29.0
13.0,9.0,86.0,21.0,4.6,40.9,1.3,0.0,1,25.0
14.0,9.0,76.0,26.0,8.3,47.4,1.1,0.1,1,22.0
15.0,9.0,82.0,15.0,0.4,44.9,0.9,0.0,1,24.0
16.0,9.0,65.0,14.0,0.0,78.1,3.2,0.8,1,30.0
17.0,9.0,52.0,14.0,0.0,87.7,6.4,5.9,0,31.0
18.0,9.0,49.0,11.0,0.0,89.4,9.8,7.7,0,32.0
19.0,9.0,57.0,14.0,0.0,89.3,12.5,9.7,0,29.0
20.0,9.0,84.0,18.0,0.0,83.8,13.5,6.3,0,28.0
21.0,9.0,55.0,11.0,0.0,87.8,16.5,8.3,0,31.0
22.0,9.0,50.0,19.0,0.6,77.8,10.6,2.8,1,31.0
23.0,9.0,54.0,11.0,0.5,73.7,7.9,0.7,1,32.0
24.0,9.0,65.0,19.0,0.6,68.3,5.5,0.7,1,29.0
25.0,9.0,81.0,21.0,5.8,48.6,3.0,0.1,1,26.0
26.0,9.0,54.0,11.0,0.0,82.0,6.0,1.7,1,31.0
27.0,9.0,66.0,11.0,0.0,85.7,8.3,4.1,0,31.0
28.0,9.0,47.0,14.0,0.7,77.5,7.1,0.9,1,32.0
29.0,9.0,80.0,16.0,1.8,47.4,2.9,0.1,1,26.0
30.0,9.0,78.0,14.0,1.4,45.0,1.9,0.1,1,25.0
1.0,6.0,71.0,12.0,0.7,57.1,2.5,0.2,1,32.0
2.0,6.0,73.0,13.0,4.0,55.7,2.7,0.2,1,30.0
3.0,6.0,80.0,14.0,2.0,48.7,2.2,0.1,1,29.0
4.0,6.0,64.0,14.0,0.0,79.4,5.2,1.0,1,30.0
5.0,6.0,60.0,14.0,0.2,77.1,6.0,0.9,1,32.0
6.0,6.0,54.0,11.0,0.1,83.7,8.4,3.1,0,35.0
7.0,6.0,44.0,17.0,0.2,85.6,9.9,6.0,0,35.0
8.0,6.0,51.0,17.0,1.3,71.4,7.7,0.8,1,28.0
9.0,6.0,59.0,18.0,0.1,78.1,8.5,1.9,1,27.0
10.0,6.0,41.0,15.0,0.0,89.4,13.3,10.0,0,30.0
11.0,6.0,42.0,21.0,0.0,90.6,18.2,16.7,0,31.0
12.0,6.0,58.0,17.0,0.0,88.9,21.3,12.9,0,27.0
13.0,6.0,52.0,15.0,2.0,72.3,11.4,0.9,1,30.0
14.0,6.0,79.0,16.0,0.7,53.4,6.4,0.3,1,27.0
15.0,6.0,90.0,15.0,0.0,66.8,7.2,0.6,1,28.0
16.0,6.0,87.0,15.0,0.4,47.4,4.2,0.1,1,29.0
17.0,6.0,69.0,17.0,4.7,62.2,3.9,0.4,1,31.0
18.0,6.0,62.0,10.0,8.7,65.5,4.6,0.4,1,33.0
19.0,6.0,67.0,14.0,4.5,64.6,4.4,0.4,1,32.0
20.0,6.0,72.0,14.0,0.2,60.2,3.8,0.3,1,31.0
21.0,6.0,55.0,14.0,0.0,86.2,8.3,4.9,0,32.0
22.0,6.0,46.0,14.0,1.1,78.3,8.1,1.2,1,33.0
23.0,6.0,59.0,16.0,0.8,74.2,7.0,0.8,1,33.0
24.0,6.0,68.0,16.0,0.0,85.3,10.0,5.3,0,35.0
25.0,6.0,70.0,16.0,0.0,86.0,12.8,6.7,0,34.0
26.0,6.0,62.0,16.0,0.0,87.8,16.5,9.5,0,36.0
27.0,6.0,55.0,15.0,0.0,89.1,20.9,12.0,0,36.0
28.0,6.0,37.0,13.0,0.0,92.5,27.2,18.4,0,37.0
29.0,6.0,36.0,13.0,0.6,86.2,17.9,7.2,0,37.0
30.0,6.0,42.0,15.0,1.7,79.7,12.0,2.2,1,34.0
1.0,7.0,58.0,18.0,2.2,63.7,3.2,0.5,1,28.0
2.0,7.0,48.0,16.0,0.0,87.6,7.9,6.4,0,33.0
3.0,7.0,56.0,17.0,0.1,84.7,9.7,5.2,0,34.0
4.0,7.0,58.0,18.0,0.0,88.0,13.6,9.9,0,34.0
5.0,7.0,45.0,18.0,0.0,90.5,18.7,15.0,0,34.0
6.0,7.0,42.0,15.0,0.3,84.7,15.5,6.3,0,35.0
7.0,7.0,43.0,13.0,0.5,85.0,13.0,5.2,0,38.0
8.0,7.0,47.0,18.0,6.0,80.8,9.8,3.0,0,35.0
9.0,7.0,43.0,15.0,1.9,82.3,9.4,3.1,0,36.0
10.0,7.0,51.0,16.0,3.8,77.5,8.0,1.3,1,34.0
11.0,7.0,56.0,15.0,2.9,74.8,7.1,0.8,1,34.0
12.0,7.0,44.0,13.0,0.0,90.1,12.6,9.6,0,36.0
13.0,7.0,45.0,13.0,0.6,85.2,11.3,4.7,0,39.0
15.0,7.0,45.0,17.0,0.0,90.5,18.0,14.1,0,34.0
16.0,7.0,83.0,17.0,0.0,84.5,19.4,7.3,0,31.0
17.0,7.0,81.0,17.0,0.0,84.6,21.1,7.7,0,32.0
18.0,7.0,68.0,15.0,0.0,86.1,23.9,9.1,0,33.0
19.0,7.0,58.0,16.0,0.0,88.1,27.8,13.0,0,34.0
20.0,7.0,50.0,16.0,0.0,89.9,32.7,17.3,0,36.0
21.0,7.0,29.0,18.0,0.0,93.9,39.6,30.0,0,36.0
22.0,7.0,48.0,18.0,0.0,91.5,44.2,25.4,0,32.0
23.0,7.0,71.0,17.0,0.0,87.3,46.6,16.3,0,31.0
24.0,7.0,63.0,17.0,1.1,72.8,20.9,2.5,1,33.0
25.0,7.0,64.0,9.0,1.2,73.8,11.7,0.7,1,39.0
26.0,7.0,58.0,10.0,0.2,78.3,10.8,1.0,1,35.0
27.0,7.0,87.0,18.0,0.0,80.0,11.8,3.2,1,29.0
28.0,7.0,57.0,16.0,0.0,87.5,15.7,9.0,0,33.0
29.0,7.0,59.0,16.0,0.0,88.1,19.5,10.9,0,34.0
30.0,7.0,56.0,16.0,0.0,88.9,23.8,13.2,0,36.0
31.0,7.0,55.0,15.0,0.0,89.3,28.3,14.5,0,37.0
1.0,8.0,52.0,14.0,0.0,78.3,4.4,0.8,1,38.0
2.0,8.0,34.0,14.0,0.0,93.3,10.8,13.5,0,40.0
3.0,8.0,33.0,17.0,0.0,93.7,17.1,19.5,0,39.0
4.0,8.0,35.0,15.0,0.0,93.8,23.0,20.9,0,38.0
5.0,8.0,42.0,17.0,0.1,88.3,23.6,12.6,0,34.0
6.0,8.0,54.0,14.0,3.1,70.5,11.0,0.8,1,30.0
7.0,8.0,63.0,13.0,2.9,69.7,7.2,0.6,1,34.0
8.0,8.0,56.0,11.0,0.0,87.4,11.2,5.9,0,37.0
9.0,8.0,43.0,12.0,0.0,91.7,16.5,12.7,0,39.0
10.0,8.0,39.0,15.0,0.2,89.3,15.8,10.7,0,39.0
11.0,8.0,31.0,15.0,0.0,94.2,22.5,21.6,0,40.0
12.0,8.0,21.0,17.0,0.4,93.0,18.4,18.8,0,39.0
13.0,8.0,34.0,16.0,0.2,88.3,16.9,10.5,0,35.0
14.0,8.0,40.0,13.0,0.0,91.9,22.3,15.7,0,37.0
15.0,8.0,46.0,13.0,0.3,83.9,16.9,5.5,0,35.0
16.0,8.0,41.0,10.0,0.1,92.0,22.6,14.8,0,40.0
17.0,8.0,24.0,9.0,0.0,96.0,30.3,24.0,0,42.0
18.0,8.0,37.0,14.0,0.0,94.3,35.9,26.3,0,37.0
19.0,8.0,66.0,15.0,0.1,82.7,32.7,7.7,0,35.0
20.0,8.0,81.0,15.0,0.0,83.7,34.4,9.0,0,36.0
21.0,8.0,71.0,15.0,0.0,86.0,36.9,12.2,0,36.0
22.0,8.0,53.0,14.0,0.0,89.5,41.1,18.1,0,37.0
23.0,8.0,43.0,16.0,0.0,91.2,46.1,24.5,0,36.0
24.0,8.0,38.0,15.0,0.0,92.1,51.3,26.9,0,35.0
25.0,8.0,40.0,18.0,0.0,92.1,56.3,31.1,0,34.0
26.0,8.0,37.0,16.0,0.0,92.2,61.3,30.3,0,33.0
27.0,8.0,54.0,14.0,0.0,91.0,65.9,26.1,0,36.0
28.0,8.0,56.0,14.0,0.4,79.2,37.0,6.1,1,35.0
29.0,8.0,53.0,17.0,0.5,80.2,20.7,5.9,0,35.0
30.0,8.0,49.0,15.0,0.0,89.2,24.8,16.0,0,34.0
31.0,8.0,59.0,19.0,0.0,89.1,27.8,19.4,0,30.0
1.0,9.0,86.0,16.0,0.0,37.9,0.9,0.0,1,29.0
2.0,9.0,67.0,19.0,0.0,75.4,2.9,0.8,1,28.0
3.0,9.0,75.0,16.0,0.0,82.2,4.4,2.5,0,28.0
4.0,9.0,66.0,15.0,0.2,73.5,4.1,0.7,1,30.0
5.0,9.0,58.0,12.0,4.1,66.1,4.0,0.4,1,30.0
6.0,9.0,71.0,14.0,6.5,64.5,3.3,0.4,1,34.0
7.0,9.0,62.0,15.0,0.0,83.3,5.8,3.2,0,31.0
8.0,9.0,88.0,14.0,0.0,82.5,6.6,2.7,0,30.0
9.0,9.0,80.0,15.0,0.0,83.1,7.9,3.7,0,30.0
10.0,9.0,74.0,15.0,1.1,59.5,4.7,0.3,1,29.0
11.0,9.0,73.0,14.0,0.0,79.2,6.5,1.2,1,30.0
12.0,9.0,72.0,14.0,0.0,84.2,8.3,3.9,0,31.0
13.0,9.0,49.0,19.0,0.0,88.6,11.5,10.3,0,29.0
14.0,9.0,81.0,15.0,0.0,84.6,12.6,5.7,0,28.0
15.0,9.0,51.0,13.0,0.0,88.7,16.0,9.8,0,32.0
16.0,9.0,26.0,13.0,0.0,93.9,21.2,19.3,0,33.0
17.0,9.0,44.0,12.0,0.0,92.5,25.2,17.5,0,34.0
18.0,9.0,33.0,13.0,0.1,90.6,25.8,15.4,0,36.0
19.0,9.0,41.0,8.0,0.1,83.9,24.9,5.6,0,29.0
20.0,9.0,58.0,13.0,0.2,79.5,18.7,3.8,1,34.0
21.0,9.0,34.0,17.0,0.0,92.2,23.6,21.6,0,35.0
22.0,9.0,64.0,13.0,0.0,88.9,26.1,13.7,0,33.0
23.0,9.0,56.0,14.0,0.0,89.0,29.4,15.2,0,35.0
24.0,9.0,49.0,6.0,2.0,61.3,11.9,0.4,1,26.0
25.0,9.0,70.0,15.0,0.0,79.9,13.8,3.0,1,28.0
26.0,9.0,65.0,14.0,0.0,85.4,16.0,6.5,0,30.0
27.0,9.0,87.0,15.0,4.4,41.1,6.5,0.0,1,28.0
28.0,9.0,87.0,29.0,0.5,45.9,3.5,0.2,1,27.0
29.0,9.0,54.0,18.0,0.1,79.7,4.3,0.7,1,24.0
30.0,9.0,64.0,15.0,0.2,67.3,3.8,0.5,1,24.0
